epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr,time_s
1,0.5829880745708942,0.675,0.24509710669517518,0.86,,0.0009997532801828658,1.0749859809875488
2,0.27047580391168596,0.935,0.07795003667473793,0.96,,0.0009990133642141358,2.0012259483337402
3,0.20972875706851482,0.94,0.05288520067930222,0.98,,0.00099778098230154,2.9306788444519043
4,0.17527737759053708,0.97,0.04141690969467163,0.98,,0.000996057350657239,3.859973669052124
5,0.12137990951538086,0.975,0.029724443852901457,1.0,,0.0009938441702975688,4.786108732223511
6,0.13447085864841937,0.98,0.03867157481610775,1.0,,0.0009911436253643444,5.713578939437866
7,0.08614064447581768,0.985,0.03229169696569443,0.98,,0.0009879583809693736,6.637287855148315
8,0.070902861058712,0.99,0.024472378063946962,1.0,,0.0009842915805643154,7.566349029541016
9,0.04511482171714306,0.995,0.005906728119589389,1.0,,0.0009801468428384714,8.503508806228638
10,0.030514847342856227,1.0,0.004326993748545647,1.0,,0.0009755282581475767,9.458890914916992
11,0.07165779102127999,0.99,0.002057687271735631,1.0,,0.0009704403844771127,10.410504817962646
12,0.020137513466179372,0.995,0.0009629593353020027,1.0,,0.0009648882429441257,11.36039686203003
13,0.037124115212600374,0.99,0.0008773519634269178,1.0,,0.0009588773128419905,12.318261861801147
14,0.01222276980872266,0.995,0.0020774147182237358,1.0,,0.0009524135262330098,13.300273895263672
15,0.011704047999810428,1.0,0.0012839138756680767,1.0,,0.0009455032620941839,14.246967792510986
16,0.009216010336022009,1.0,0.002149358154492802,1.0,,0.0009381533400219318,15.167524814605713
17,0.007183245953274309,1.0,0.0006201696854623151,1.0,,0.0009303710135019719,16.09644389152527
18,0.00501745751244016,1.0,0.000756148013206257,1.0,,0.0009221639627510076,17.01841974258423
19,0.003959273139480501,1.0,0.07222841658205653,0.98,,0.000913540287137281,17.9393048286438
20,0.00321937494572399,1.0,0.0024060155376628245,1.0,,0.0009045084971874739,18.89147186279297
21,0.0027672017436928065,1.0,0.06316188562104799,0.98,,0.0008950775061878453,19.815093994140625
22,0.002347869270524825,1.0,7.021572999292402e-05,1.0,,0.0008852566213878948,20.73973298072815
23,0.001988019536383945,1.0,0.0017939321376570661,1.0,,0.0008750555348152299,21.667208909988403
24,0.0018738634167607415,1.0,4.221151198521511e-05,1.0,,0.0008644843137107058,22.584539890289307
25,0.002022534609895956,1.0,2.9433326412799944e-05,1.0,,0.0008535533905932738,23.503477811813354
26,0.0018795097090901435,1.0,0.00035463948734104633,1.0,,0.0008422735529643445,24.423712968826294
27,0.0018677948317781556,1.0,0.00040239380090497436,1.0,,0.000830655932661826,25.34505867958069
28,0.0016740149713661261,1.0,0.00014750657603144647,1.0,,0.000818711994874345,26.284403800964355
29,0.0013200765885513143,1.0,1.0701543214963748e-05,1.0,,0.0008064535268264884,27.214101791381836
30,0.0010429195804522351,1.0,7.851321656744403e-06,1.0,,0.0007938926261462368,28.13594698905945
31,0.0009206872352524443,1.0,6.515473286299311e-06,1.0,,0.0007810416889260655,29.073580980300903
32,0.000793071059806325,1.0,5.716997120543965e-06,1.0,,0.0007679133974894984,30.00571370124817
33,0.0007182669343143289,1.0,6.295165833307692e-06,1.0,,0.0007545207078751858,30.92763590812683
34,0.0006296463891453641,1.0,6.140410802686347e-06,1.0,,0.0007408768370508578,31.86357879638672
35,0.0006003630423506439,1.0,6.835446646391574e-06,1.0,,0.0007269952498697736,32.78520965576172
36,0.0005385937401763386,1.0,6.217529375476261e-06,1.0,,0.0007128896457825365,33.70501184463501
37,0.0004980972530677264,1.0,6.25680943670659e-06,1.0,,0.0006985739453173904,34.62426495552063
38,0.00046262401068815963,1.0,6.430070262410936e-06,1.0,,0.0006840622763423392,35.54196381568909
39,0.0004305447717229072,1.0,6.937188862323751e-06,1.0,,0.0006693689601226459,36.46298885345459
